Month,Midwest,Northeast,South,West
1,3.04 (2.6-3.48),3.1 (2.71-3.49),3.78 (3.36-4.21),1.76 (1.62-1.9)
2,3.62 (3.09-4.15),3.36 (2.92-3.8),4.37 (3.82-4.91),1.83 (1.66-1.99)
3,3.84 (3.37-4.3),3.9 (3.57-4.23),4.32 (3.89-4.74),1.88 (1.75-2.02)
4,2.93 (2.67-3.19),3.18 (2.89-3.47),3.65 (3.36-3.94),1.61 (1.51-1.71)
5,2.7 (2.43-2.97),2.97 (2.7-3.25),3.61 (3.3-3.91),1.64 (1.54-1.75)
6,1.8 (1.63-1.97),2.21 (2.02-2.41),2.38 (2.18-2.59),1.24 (1.17-1.32)
7,1.38 (1.27-1.5),1.42 (1.33-1.51),1.8 (1.67-1.93),0.98 (0.93-1.03)
8,1.37 (1.24-1.49),1.22 (1.13-1.31),2.07 (1.87-2.26),1 (0.94-1.05)
9,1.68 (1.53-1.83),1.38 (1.28-1.49),2.66 (2.46-2.87),1.11 (1.06-1.16)
10,1.98 (1.86-2.11),1.75 (1.65-1.85),3.1 (2.9-3.31),1.33 (1.27-1.39)
11,2.31 (2.14-2.47),2.08 (1.93-2.24),3.49 (3.22-3.75),1.51 (1.43-1.6)
12,2.8 (2.6-3),2.74 (2.52-2.97),3.88 (3.58-4.18),1.71 (1.61-1.81)
