Month,East North Central,East South Central,Middle Atlantic,Mountain West,New England,Pacific West,South Atlantic,West North Central,West South Central
1,2.79 (2.35-3.23),4.7 (4.13-5.26),3.28 (2.85-3.72),2.97 (2.72-3.23),2.58 (2.28-2.87),1.2 (1.09-1.31),3 (2.68-3.32),3.6 (3.11-4.08),4.58 (3.99-5.18)
2,3.36 (2.84-3.88),5.76 (4.93-6.6),3.58 (3.08-4.08),3.15 (2.83-3.46),2.73 (2.4-3.06),1.21 (1.1-1.33),3.53 (3.05-4.01),4.21 (3.58-4.83),5.02 (4.34-5.7)
3,3.7 (3.24-4.15),5.61 (4.86-6.36),4.13 (3.78-4.49),3.04 (2.78-3.29),3.24 (2.88-3.61),1.35 (1.23-1.47),3.83 (3.41-4.24),4.15 (3.59-4.71),4.47 (4.03-4.92)
4,2.76 (2.52-2.99),4.4 (3.96-4.84),3.34 (3.02-3.67),2.61 (2.46-2.77),2.72 (2.43-3),1.15 (1.06-1.24),3.06 (2.82-3.3),3.32 (2.96-3.68),4.23 (3.8-4.66)
5,2.59 (2.32-2.86),4.12 (3.61-4.64),3.15 (2.86-3.45),2.63 (2.49-2.78),2.47 (2.18-2.75),1.19 (1.09-1.28),3.16 (2.93-3.39),2.96 (2.63-3.29),4.06 (3.64-4.49)
6,1.7 (1.54-1.87),2.41 (2.16-2.66),2.33 (2.11-2.54),1.82 (1.74-1.9),1.89 (1.69-2.08),0.98 (0.9-1.05),2.14 (1.98-2.3),2.01 (1.79-2.23),2.76 (2.45-3.06)
7,1.28 (1.18-1.38),1.88 (1.71-2.06),1.5 (1.4-1.6),1.46 (1.4-1.51),1.19 (1.11-1.27),0.76 (0.71-0.81),1.59 (1.51-1.67),1.62 (1.46-1.77),2.09 (1.88-2.3)
8,1.25 (1.14-1.36),2.81 (2.43-3.2),1.29 (1.19-1.38),1.61 (1.53-1.7),1.04 (0.94-1.13),0.71 (0.66-0.75),1.73 (1.61-1.86),1.64 (1.47-1.8),2.24 (2.01-2.47)
9,1.54 (1.42-1.67),3.34 (2.95-3.73),1.47 (1.36-1.58),1.86 (1.77-1.96),1.14 (1.04-1.23),0.77 (0.72-0.81),2.1 (1.98-2.21),1.98 (1.77-2.19),3.24 (2.92-3.56)
10,1.85 (1.71-1.98),3.75 (3.37-4.13),1.87 (1.76-1.98),2.24 (2.12-2.35),1.41 (1.33-1.5),0.92 (0.86-0.98),2.48 (2.39-2.58),2.28 (2.13-2.44),3.78 (3.41-4.14)
11,2.14 (1.98-2.31),4.49 (3.98-5.01),2.21 (2.03-2.38),2.6 (2.4-2.79),1.73 (1.62-1.84),1.01 (0.95-1.08),2.73 (2.53-2.92),2.68 (2.48-2.87),4.2 (3.83-4.57)
12,2.6 (2.41-2.8),5.1 (4.51-5.69),2.91 (2.66-3.15),2.93 (2.72-3.15),2.27 (2.05-2.49),1.15 (1.07-1.23),3.06 (2.8-3.33),3.25 (2.98-3.52),4.6 (4.23-4.96)
