MONTH,Northeast-Midwest,South-Midwest,West-Midwest,Midwest-Northeast,South-Northeast,West-Northeast,Midwest-South,Northeast-South,West-South,Midwest-West,Northeast-West,South-West
1,0.06(0.84210942),0.745(0.02894485),-1.278(0.00032875),-0.06(0.84210942),0.684(0.03256369),-1.338(8.135e-05),-0.745(0.02894485),-0.684(0.03256369),-2.022(5.47e-06),1.278(0.00032875),1.338(8.135e-05),2.022(5.47e-06)
2,-0.264(0.46498135),0.747(0.07263524),-1.795(0.00010918),0.264(0.46498135),1.012(0.01253314),-1.531(7.488e-05),-0.747(0.07263524),-1.012(0.01253314),-2.542(7.82e-06),1.795(0.00010918),1.531(7.488e-05),2.542(7.82e-06)
3,0.066(0.82571819),0.482(0.15350151),-1.95(2.023e-05),-0.066(0.82571819),0.417(0.1486278),-2.016(3.4e-07),-0.482(0.15350151),-0.417(0.1486278),-2.433(1.07e-06),1.95(2.023e-05),2.016(3.4e-07),2.433(1.07e-06)
4,0.25(0.23043033),0.72(0.00229388),-1.316(2.84e-06),-0.25(0.23043033),0.469(0.03950468),-1.567(1.95e-06),-0.72(0.00229388),-0.469(0.03950468),-2.036(1.4e-07),1.316(2.84e-06),1.567(1.95e-06),2.036(1.4e-07)
5,0.27(0.18538119),0.901(0.00049185),-1.06(2.58e-05),-0.27(0.18538119),0.631(0.0076264),-1.33(3.47e-06),-0.901(0.00049185),-0.631(0.0076264),-1.961(3.2e-07),1.06(2.58e-05),1.33(3.47e-06),1.961(3.2e-07)
6,0.414(0.00647466),0.584(0.00060147),-0.555(0.00010685),-0.414(0.00647466),0.17(0.25719214),-0.969(3.19e-06),-0.584(0.00060147),-0.17(0.25719214),-1.139(1.29e-06),0.555(0.00010685),0.969(3.19e-06),1.139(1.29e-06)
7,0.036(0.63353758),0.419(0.00021442),-0.402(6.061e-05),-0.036(0.63353758),0.382(0.00028766),-0.438(2.67e-06),-0.419(0.00021442),-0.382(0.00028766),-0.82(3e-07),0.402(6.061e-05),0.438(2.67e-06),0.82(3e-07)
8,-0.147(0.08226541),0.7(4.057e-05),-0.372(0.00021819),0.147(0.08226541),0.847(7.26e-06),-0.225(0.00130232),-0.7(4.057e-05),-0.847(7.26e-06),-1.072(2.21e-06),0.372(0.00021819),0.225(0.00130232),1.072(2.21e-06)
9,-0.296(0.00592837),0.987(1.92e-06),-0.565(3.46e-05),0.296(0.00592837),1.283(1.6e-07),-0.268(0.00071915),-0.987(1.92e-06),-1.283(1.6e-07),-1.551(1.8e-07),0.565(3.46e-05),0.268(0.00071915),1.551(1.8e-07)
10,-0.229(0.01287447),1.122(4.2e-07),-0.649(1.27e-06),0.229(0.01287447),1.351(1e-07),-0.42(6.68e-06),-1.122(4.2e-07),-1.351(1e-07),-1.771(3e-08),0.649(1.27e-06),0.42(6.68e-06),1.771(3e-08)
11,-0.224(0.07119462),1.18(4.68e-06),-0.792(2.59e-06),0.224(0.07119462),1.404(7.4e-07),-0.568(3.45e-05),-1.18(4.68e-06),-1.404(7.4e-07),-1.972(1.2e-07),0.792(2.59e-06),0.568(3.45e-05),1.972(1.2e-07)
12,-0.059(0.70372302),1.082(4.222e-05),-1.087(6e-07),0.059(0.70372302),1.141(2.81e-05),-1.028(4.72e-06),-1.082(4.222e-05),-1.141(2.81e-05),-2.169(1.3e-07),1.087(6e-07),1.028(4.72e-06),2.169(1.3e-07)
