STATE,Uptick_Date,uptick_lower_date,uptick_upper_date,State
New Mexico,2019-06-24,2019-06-16,2019-07-03,NM
Louisiana,2019-06-28,2019-06-21,2019-07-04,LA
Alabama,2019-07-01,2019-07-01,2019-07-01,AL
Arizona,2019-07-01,2019-07-01,2019-07-01,AZ
Georgia,2019-07-01,2019-07-01,2019-07-01,GA
Indiana,2019-07-01,2019-07-01,2019-07-01,IN
Kentucky,2019-07-01,2019-07-01,2019-07-01,KY
Mississippi,2019-07-01,2019-07-01,2019-07-01,MS
Missouri,2019-07-01,2019-07-01,2019-07-01,MO
Tennessee,2019-07-01,2019-07-01,2019-07-01,TN
West Virginia,2019-07-01,2019-07-01,2019-07-01,WV
Arkansas,2019-07-05,2019-06-28,2019-07-11,AR
North Dakota,2019-07-05,2019-06-09,2019-07-30,ND
Oklahoma,2019-07-05,2019-06-28,2019-07-11,OK
Kansas,2019-07-08,2019-06-21,2019-07-24,KS
South Carolina,2019-07-08,2019-06-29,2019-07-17,SC
Colorado,2019-07-11,2019-07-01,2019-07-21,CO
South Dakota,2019-07-11,2019-07-01,2019-07-21,SD
Texas,2019-07-11,2019-07-01,2019-07-21,TX
Wyoming,2019-07-11,2019-06-24,2019-07-28,WY
Idaho,2019-07-18,2019-07-08,2019-07-29,ID
Iowa,2019-07-18,2019-07-08,2019-07-29,IA
Nebraska,2019-07-18,2019-07-08,2019-07-29,NE
Nevada,2019-07-18,2019-07-08,2019-07-29,NV
Florida,2019-07-21,2019-07-07,2019-08-04,FL
North Carolina,2019-07-21,2019-07-11,2019-07-31,NC
Utah,2019-07-21,2019-07-11,2019-07-31,UT
Connecticut,2019-07-25,2019-07-16,2019-08-03,CT
Delaware,2019-07-25,2019-07-16,2019-08-03,DE
Illinois,2019-07-25,2019-07-16,2019-08-03,IL
Ohio,2019-07-25,2019-07-16,2019-08-03,OH
California,2019-07-28,2019-07-16,2019-08-09,CA
Minnesota,2019-07-28,2019-07-22,2019-08-04,MN
Montana,2019-07-28,2019-07-16,2019-08-09,MT
Maryland,2019-08-01,2019-08-01,2019-08-01,MD
Massachusetts,2019-08-01,2019-08-01,2019-08-01,MA
Michigan,2019-08-01,2019-08-01,2019-08-01,MI
New Jersey,2019-08-01,2019-07-22,2019-08-11,NJ
New York,2019-08-01,2019-08-01,2019-08-01,NY
Pennsylvania,2019-08-01,2019-08-01,2019-08-01,PA
Rhode Island,2019-08-01,2019-07-12,2019-08-20,RI
Virginia,2019-08-01,2019-08-01,2019-08-01,VA
Oregon,2019-08-04,2019-07-23,2019-08-16,OR
Washington DC,2019-08-04,2019-07-16,2019-08-22,DC
Wisconsin,2019-08-04,2019-07-28,2019-08-11,WI
Vermont,2019-08-07,2019-07-03,2019-09-12,VT
Washington,2019-08-07,2019-07-30,2019-08-16,WA
Maine,2019-08-14,2019-07-28,2019-09-01,ME
New Hampshire,2019-08-14,2019-08-04,2019-08-25,NH
