part,quarter,Average_Visits(95%CI)
East South Central,1,16.07 (14.11-18.03)
East South Central,2,10.93 (9.75-12.12)
East South Central,3,8.04 (7.09-8.99)
East South Central,4,13.34 (11.89-14.8)
West South Central,1,14.08 (12.49-15.68)
West South Central,2,11.05 (9.89-12.2)
West South Central,3,7.57 (6.84-8.3)
West South Central,4,12.58 (11.53-13.62)
West North Central,1,11.95 (10.33-13.57)
West North Central,2,8.29 (7.4-9.19)
West North Central,3,5.23 (4.7-5.76)
West North Central,4,8.21 (7.63-8.79)
South Atlantic,1,10.36 (9.25-11.48)
South Atlantic,2,8.36 (7.74-8.98)
South Atlantic,3,5.42 (5.12-5.72)
South Atlantic,4,8.28 (7.76-8.8)
Middle Atlantic,1,11 (9.82-12.17)
Middle Atlantic,2,8.83 (8.03-9.63)
Middle Atlantic,3,4.25 (3.96-4.55)
Middle Atlantic,4,6.99 (6.48-7.49)
Mountain West,1,9.16 (8.37-9.95)
Mountain West,2,7.07 (6.7-7.44)
Mountain West,3,4.94 (4.73-5.14)
Mountain West,4,7.77 (7.27-8.26)
East North Central,1,9.85 (8.49-11.2)
East North Central,2,7.05 (6.4-7.7)
East North Central,3,4.07 (3.74-4.4)
East North Central,4,6.59 (6.12-7.05)
New England,1,8.55 (7.66-9.44)
New England,2,7.07 (6.32-7.81)
New England,3,3.36 (3.11-3.62)
New England,4,5.42 (5.03-5.82)
Pacific West,1,3.77 (3.44-4.1)
Pacific West,2,3.31 (3.06-3.57)
Pacific West,3,2.23 (2.09-2.37)
Pacific West,4,3.08 (2.88-3.28)
